date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:26	12202/12202	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Oct%202022%2023:53:26%20GMT	https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/loginb430.html	(from )
01:53:26	278/278	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:26%20GMT	https://sso.univ-pau.fr/robots.txt		(from )
01:53:26	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:26%20GMT	https://sso.univ-pau.fr/cas/webjars.fontawesomemin.css	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars.fontawesomemin.css	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:26	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:26%20GMT	https://sso.univ-pau.fr/cas/webjars.latomin.css	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars.latomin.css	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:26	256798/256798	---M-Z	200	added ('OK')	text/css	etag:%223eb1e-5a06fbde98ef1-gzip%22	https://sso.univ-pau.fr/cas/css/cas.css	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/css/cas.css	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:27	29582/29582	---M--	200	added ('OK')	image/x-icon	date:Tue,%2019%20Jul%202022%2010:41:54%20GMT	https://sso.univ-pau.fr/cas/favicon.ico	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/favicon.ico	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:27	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:27%20GMT	https://sso.univ-pau.fr/cas/webjars.jquerymin.js	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars.jquerymin.5.delayed	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:27	37711/37711	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Jul%202022%2010:43:34%20GMT	https://sso.univ-pau.fr/cas/images/logo_uppa.svg	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/images/logo_uppa.svg	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:28	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:28%20GMT	https://sso.univ-pau.fr/cas/{0}	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/{0}	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:28	821711/821711	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Jul%202022%2010:43:32%20GMT	https://sso.univ-pau.fr/cas/webjars/zxcvbn/dist/zxcvbn.js	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars/zxcvbn/dist/zxcvbn.js	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:28	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:28%20GMT	https://sso.univ-pau.fr/cas/webjars.jqueryui.js	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars.jqueryui.js	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
01:53:28	3115/3115	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2023:53:28%20GMT	https://sso.univ-pau.fr/cas/webjars.jquerycookie.js	C:/Mie%20pagine%20Web/uWWnever/sso.univ-pau.fr/cas/webjars.jquerycookie.js	(from https://sso.univ-pau.fr/cas/login?service=https%3A%2F%2Fidp.univ-pau.fr%2Fidp%2FAuthn%2FExtCas%3Fconversation%3De1s1&entityId=https%3A%2F%2Fsp.partage.renater.fr%2Fuppa)
